"SepalLength","SepalWidth","PetalLength","PetalWidth","Species","mdl_pred"
5.6,2.7,4.2,1.3,"versicolor",5.83894545360336
5.7,3,4.2,1.2,"versicolor",5.83894545360336
5.7,2.9,4.2,1.3,"versicolor",5.83894545360336
6.2,2.9,4.3,1.3,"versicolor",5.849389209171
5.1,2.5,3,1.1,"versicolor",5.82970457699137
5.7,2.8,4.1,1.3,"versicolor",5.83894545360336
6.3,3.3,6,2.5,"virginica",5.85606014523067
5.8,2.7,5.1,1.9,"virginica",5.85606014523067
7.1,3,5.9,2.1,"virginica",5.85606014523067
6.3,2.9,5.6,1.8,"virginica",5.85606014523067
6.5,3,5.8,2.2,"virginica",5.85606014523067
7.6,3,6.6,2.1,"virginica",5.85606014523067
4.9,2.5,4.5,1.7,"virginica",5.85060381049819
7.3,2.9,6.3,1.8,"virginica",5.85606014523067
6.7,2.5,5.8,1.8,"virginica",5.85606014523067
7.2,3.6,6.1,2.5,"virginica",5.85606014523067
6.5,3.2,5.1,2,"virginica",5.85606014523067
6.4,2.7,5.3,1.9,"virginica",5.85606014523067
6.8,3,5.5,2.1,"virginica",5.85606014523067
5.7,2.5,5,2,"virginica",5.85606014523067
5.8,2.8,5.1,2.4,"virginica",5.85606014523067
6.4,3.2,5.3,2.3,"virginica",5.85606014523067
6.5,3,5.5,1.8,"virginica",5.85606014523067
7.7,3.8,6.7,2.2,"virginica",5.85606014523067
7.7,2.6,6.9,2.3,"virginica",5.85606014523067
6,2.2,5,1.5,"virginica",5.85606014523067
6.9,3.2,5.7,2.3,"virginica",5.85606014523067
5.6,2.8,4.9,2,"virginica",5.85606014523067
7.7,2.8,6.7,2,"virginica",5.85606014523067
6.3,2.7,4.9,1.8,"virginica",5.85606014523067
6.7,3.3,5.7,2.1,"virginica",5.85606014523067
7.2,3.2,6,1.8,"virginica",5.85606014523067
6.2,2.8,4.8,1.8,"virginica",5.85606014523067
6.1,3,4.9,1.8,"virginica",5.85606014523067
6.4,2.8,5.6,2.1,"virginica",5.85606014523067
7.2,3,5.8,1.6,"virginica",5.85606014523067
7.4,2.8,6.1,1.9,"virginica",5.85606014523067
7.9,3.8,6.4,2,"virginica",5.85606014523067
6.4,2.8,5.6,2.2,"virginica",5.85606014523067
6.3,2.8,5.1,1.5,"virginica",5.85606014523067
6.1,2.6,5.6,1.4,"virginica",5.85606014523067
7.7,3,6.1,2.3,"virginica",5.85606014523067
6.3,3.4,5.6,2.4,"virginica",5.85606014523067
6.4,3.1,5.5,1.8,"virginica",5.85606014523067
6,3,4.8,1.8,"virginica",5.85606014523067
6.9,3.1,5.4,2.1,"virginica",5.85606014523067
6.7,3.1,5.6,2.4,"virginica",5.85606014523067
6.9,3.1,5.1,2.3,"virginica",5.85606014523067
5.8,2.7,5.1,1.9,"virginica",5.85606014523067
6.8,3.2,5.9,2.3,"virginica",5.85606014523067
6.7,3.3,5.7,2.5,"virginica",5.85606014523067
6.7,3,5.2,2.3,"virginica",5.85606014523067
6.3,2.5,5,1.9,"virginica",5.85606014523067
6.5,3,5.2,2,"virginica",5.85606014523067
6.2,3.4,5.4,2.3,"virginica",5.85606014523067
5.9,3,5.1,1.8,"virginica",5.85606014523067
